"name","radius km","type"
"Prokne 194","80.834","belt asteroid type C"
"Eunike 185","80.232","belt asteroid type C"
"Manwë 385446","80+12
−22","resonant KBO (4:7); binary"
"Gyptis 444","79.666","belt asteroid type C"
"Despina Neptune V","78","moon of Neptune"
"Hypatia 238","77.829","belt asteroid type C"
"Merapi 536","77.585","belt asteroid type X"
"Lachesis 120","77.566","belt asteroid type C"
"Io 85","77.395","belt asteroid type FC/type B"
"Bononia 361","77.167","belt asteroid type D"
"Minerva 93","77.078","belt asteroid type C; trinary"
"Alexandra 54","77.069","belt asteroid type C"
"Laetitia 39","76.9","belt asteroid type S"
"2004 TT357","76.25[f]","resonant KBO (2:5); contact binary"
"Berbericia 776","75.855","belt asteroid type C"
"Juewa 139","75.558","belt asteroid type CP/type X"
"Parthenope 11","75.24","belt asteroid type S"
"Pales 49","74.9","belt asteroid type C"
"Adeona 145","74.75","belt asteroid; Adeona family"
"Eleonora 354","74.485","belt asteroid type S"
"Comacina 489","74.064","belt asteroid type S"
"1998 WW31","74","cubewano; binary"
"Arethusa 95","73.962","belt asteroid type C"
"Flora 8","73.746","belt asteroid type S; Flora family"
"Pulcova 762","73.672","belt asteroid type F; binary"
"Hispania 804","73.505","belt asteroid type P"
"Lomia 117","73.39","belt asteroid type X"
"Dione 106","73.295","belt asteroid type G"
"Julia 89","72.742","belt asteroid type S"
"Sibylla 168","72.683","belt asteroid type C"
"Philomela 196","72.313","belt asteroid type S"
"Irene 14","72.045","belt asteroid type S"
"Meliboea 137","71.885","belt asteroid type C"
"Aglaja 47","70.95","belt asteroid type C"
"Vibilia 144","70.67","belt asteroid type C"
"Isolda 211","70.563","belt asteroid type C"
"Adorea 268","70.294","belt asteroid type FC"
"Patroclus 617","70.181","Jupiter trojan (L5) type P; binary"
"Dido 209","70.175","belt asteroid type C"
"Dembowska 349","69.715","belt asteroid type R"
"Princetonia 508","69.845","belt asteroid type C"
"Melpomene 18","69.797","belt asteroid type S"
"Bertholda 420","69.349","outer belt asteroid type P"
"Hedwig 476","69.247","belt asteroid type P"
"Nemausa 51","69.079","belt asteroid type G"
"Hesperia 69","69.065","belt asteroid type M"
"Typhon 42355","69","SDO; resonant KBO (7:10); extended centaur; binary"
"Liguria 356","68.28","belt asteroid type C"
"Medea 212","68.06","belt asteroid type DCX"
"Massalia 20","67.84","belt asteroid type S"
"Portia Uranus XII","67.6","moon of Uranus"
"Wratislavia 690","67.325","belt asteroid type CPF"
"Eukrate 247","67.215","belt asteroid type CP/type Xc"
"Papagena 471","67.095","belt asteroid type S"
"Protogeneia 147","66.465","belt asteroid type C"
"Emma 283","66.193","belt asteroid type X; binary"
"Erminia 705","66.131","belt asteroid type X"
"Lumen 141","66.08","belt asteroid type C"
"Paha Lempo I","66","moon of 47171 Lempo"
"Lucina 146","65.947","belt asteroid type C"
"Sawiskera Teharonhiawako I","65.5","secondary of 88611 Teharonhiawako"
"Kleopatra 216","65.333","belt asteroid type M; trinary"
"Achilles 588","65.049","Jupiter trojan (L4) type DU"
"Lamberta 187","64.938","belt asteroid type C"
"Carlova 360","64.563","belt asteroid type C"
"Klymene 104","64.495","belt asteroid type C"
"Ornamenta 350","64.365","belt asteroid type C"
"Polyxo 308","64.289","belt asteroid type T"
"Dynamene 200","64.151","belt asteroid type C"
"Desiderata 344","62.985","belt asteroid type C"
"Panopaea 70","63.956","belt asteroid type C; Eunomia family"
"Thule 279","63.295","belt asteroid type D"
"Tanete 772","63.237","belt asteroid type C"
"Ate 111","63.172","belt asteroid type C"
"Borasisi 66652","63","cubewano; binary"
"Ino 173","62.911","belt asteroid type X"
"Charybdis 388","62.877","belt asteroid type C"
"Aemilia 159","62.618","belt asteroid type C"
"Pompeja 203","62.296","belt asteroid type DCX"
"Aurelia 419","62.235","belt asteroid type F"
"Hestia 46","62.07","belt asteroid type P/type Xc"
"Boliviana 712","62.063","belt asteroid type C/type X"
"2006 SQ372 308933","62","extended centaur"
"Argentina 469","61.555","belt asteroid type X; Cybele asteroid"
"S/2000 (1998 WW31) 1 1998 WW31 I","61.5","secondary of 1998 WW31"
"Gudrun 328","61.295","belt asteroid type S"
"Leto 68","61.255","belt asteroid type S"
"2001 QG298 139775","61","plutino; contact binary"
"Elfriede 618","60.77","belt asteroid type C"
"Hippo 426","60.645","belt asteroid type F"
"Undina 92","60.465","belt asteroid type X"
"Bellona 28","60.45","belt asteroid type S"
"Diana 78","60.3","belt asteroid type C"
"Myrrha 381","60.29","outer belt asteroid type C"
"Anchises 1173","60.245","Jupiter trojan (L5) type P"
"Armida 514","60.047","belt asteroid type XC"
"Antigone 129","59.72","belt asteroid type M"
"Nuwa 150","59.564","belt asteroid type C"
"Veritas 490","59.402","belt asteroid type C; Veritas family"
"Paris 3317","59.395","Jupiter trojan (L5) type T"
"Galatea 74","59.355","belt asteroid type C"
"Deiphobus 1867","59.11","Jupiter trojan (L5) type D"
"Aneas 1172","59.01","Jupiter trojan (L5) type D"
"Diomedes 1437","58.893","Jupiter trojan (L4) type D"
"Terpsichore 81","58.864","belt asteroid type C"
"Ani 791","58.433","belt asteroid type C"
"Freda 1093","58.365","belt asteroid type C"
"Ulla 909","58.22","belt asteroid type X; Ulla family"
"Zelinda 654","58.151","belt asteroid type C"
"Chloris 410","58.123","belt asteroid type C"
"Epimetheus Saturn XI","58.1","moon of Saturn"
"Johanna 127","58.07","belt asteroid type C"
"Circe 34","57.745","belt asteroid type C"
"Leda 38","57.705","belt asteroid type C"
"Eucharis 181","57.692","belt asteroid type S/type Xk"
"Victoria 12","57.544","belt asteroid type S"
"Adelheid 276","57.362","belt asteroid type X"
"Odysseus 1143","57.312","Jupiter trojan (L4) type D"
"Alcathous 2241","56.841","Jupiter trojan (L5) type D"
"Melete 56","56.62","belt asteroid type P"
"Messalina 545","56.316","belt asteroid type C"
"Mnemosyne 57","56.295","belt asteroid type S"
"Nestor 659","56.16","Jupiter trojan (L4) type XC"
"Sophrosyne 134","56.094","belt asteroid type C"
"Makhaon 3063","55.828","Jupiter trojan (L4) type D"
"Atalante 36","55.27","belt asteroid type C"
"Athamantis 230","55.666","belt asteroid type S"
"Hohensteina 788","55.648","belt asteroid"
"Harmonia 40","55.626","belt asteroid type S"
"Marianna 602","55.222","belt asteroid type C"
"Xanthippe 156","55.205","belt asteroid type C"
"Scheila 596","55.204","belt asteroid type PCD/type T"
"Semele 86","54.965","belt asteroid type C"
"Eurterpe 27","54.895","belt asteroid type S"
"Siwa 140","54.895","belt asteroid type P/type Xc"
"Helio 895","54.784","outer belt asteroid type B"
"Thia 405","54.447","belt asteroid type C"
"Antilochus 1583","54.421","Jupiter trojan (L4) type D"
"Fides 37","54.175","belt asteroid type S"
"Gerlinde 663","53.898","belt asteroid type X"
"Thalia 23","53.765","belt asteroid type S"
"Brixia 521","53.614","belt asteroid type C"
"Iduna 176","53.488","belt asteroid type G"
"Erato 62","53.461","belt asteroid type BU/type Ch; Themis family"
"Astraea 5","53.349","belt asteroid type S"
"Ianthe 98","53.08","belt asteroid type C"
"Ninina 357","53.05","belt asteroid type CX"
"Albion 15760","53","cubewano; classification name derived from its former designation 1992 QB1"
